full,school,sponsor,,TeamName,,
Air Force Falcons,Air Force,Nike,,Abilene Chr,,
Akron Zips,Akron,Adidas,,Air Force,Nike,
Alabama Crimson Tide,Alabama,Nike,,Akron,Adidas,
Albany Great Danes,SUNY Albany,Nike,,Alabama,Nike,
Appalachian St Mountaineers,Appalachian St,Nike,,Alabama A&M,,
Arizona Wildcats,Arizona,Nike,,Alabama St,,
Arizona St Sun Devils,Arizona St,Adidas,,SUNY Albany,Nike,
Arkansas Razorbacks,Arkansas,Nike,,Alcorn St,,
Arkansas St Red Wolves,Arkansas St,Adidas,,Alliant Intl,,
,Auburn,UA,,American Univ,,
Army Black Knights,Army,Nike,,Appalachian St,Nike,
Baylor Bears football,Baylor,Nike,,Arizona,Nike,
Belmont Bruins,Belmont,Nike,,Arizona St,Adidas,
Boise St Broncos,Boise St,Nike,,Ark Little Rock,,
BoSton College Eagles,BoSton College,UA,,Ark Pine Bluff,,
Bowling Green Falcons,Bowling Green,Nike,,Arkansas,Nike,
Bradley Braves,Bradley,Adidas,,Arkansas St,Adidas,
Brown Bears,Brown,Adidas,,Armstrong St,,
Bucknell Bison,Bucknell,Adidas,,Army,Nike,
Buffalo Bulls,Buffalo,Nike,,Auburn,UA,
Butler Bulldogs,Butler,Nike,,Augusta,,
BYU Cougars,BYU,Nike,,Austin Peay,,
Cal Poly MuStangs,Cal Poly,Nike,,Ball St,,
Cal St Bakersfield Roadrunners,Cal St Bakersfield,Adidas,,Baylor,Nike,
California Golden Bears,California,Nike,,Belmont,Nike,
Campbell Fighting Camels and Lady Camels,Campbell,UA,,Bethune-Cookman,,
Case WeStern Reserve Spartans,Case WeStern Reserve,Nike,,Binghamton,,
Central Arkansas Bears and Sugar Bears,Central Arkansas,Adidas,,Birmingham So,,
Central Michigan Chippewas,Central Michigan,Adidas,,Boise St,Nike,
Cincinnati Bearcats,Cincinnati,UA,,Boston College,UA,
Clemson Tigers,Clemson,Nike,,Boston Univ,,
CoaStal Carolina Chanticleers,CoaStal Carolina,UA,,Bowling Green,Nike,
Colorado Buffaloes,Colorado,Nike,,Bradley,Adidas,
Colorado St Rams,Colorado St,UA,,Brooklyn,,
Cornell Big Red,Cornell,Nike,,Brown,Adidas,
Creighton Bluejays,Creighton,Nike,,Bryant,,
Davidson Wildcats,Davidson,Nike,,Bucknell,Adidas,
Delaware Fightin' Blue Hens,Delaware,Adidas,,Buffalo,Nike,
Denver Pioneers,Denver,Adidas,,Butler,Nike,
Detroit Titans,Detroit,Adidas,,BYU,Nike,
Drake Bulldogs,Drake,Adidas,,C Michigan,,
Duke Blue Devils,Duke,Nike,,Cal Poly,Nike,
Duquesne Dukes,Duquesne,Adidas,,California,Nike,
EaSt Carolina Pirates,EaSt Carolina,Adidas,,Campbell,UA,
EaStern Illinois Panthers,EaStern Illinois,Adidas,,Canisius,,
EaStern Michigan Eagles,EaStern Michigan,Adidas,,Cent Arkansas,,
EaStern Washington Eagles,EaStern Washington,Adidas,,Centenary,,
Elon Phoenix,Elon,UA,,Central Conn,,
FIU Panthers,FIU,Adidas,,Charleston So,,
Florida Gators,Florida,Nike,,Charlotte,,
Florida Atlantic Owls,Florida Atlantic,Adidas,,Chattanooga,,
Florida St Seminoles,Florida St,Nike,,Chicago St,,
Florida Tech Panthers,Florida Tech,Adidas,,Cincinnati,UA,
Fort Wayne MaStodons,Fort Wayne,Nike,,Citadel,,
Fresno St Bulldogs,Fresno St,Nike,,Clemson,Nike,
George Mason Patriots,George Mason,Adidas,,Cleveland St,,
