TeamID,TeamName,FirstD1Season,LastD1Season,Sponsor,Notes:,2019sponsorshipvalue,
1101,Abilene Chr,2014,2020,Nike,acu nike 2015,,
1102,Air Force,1985,2020,Nike,,,
1103,Akron,1985,2020,Adidas,,,
1104,Alabama,1985,2020,Nike,,,
1105,Alabama A&M,2000,2020,Nike,2018,,
1106,Alabama St,1985,2020,Adidas,,,
1107,SUNY Albany,2000,2020,Nike,,,
1108,Alcorn St,1985,2020,Adidas,,,
1109,Alliant Intl,1985,1991,,,,
1110,American Univ,1985,2020,UA,twitter verified,,
1111,Appalachian St,1985,2020,Nike,,,
1112,Arizona,1985,2020,Nike,,,
1113,Arizona St,1985,2020,Adidas,,"$6,850 ",
1114,Ark Little Rock,1985,2020,Nike,google image,,
1115,Ark Pine Bluff,1999,2020,Adidas,,,
1116,Arkansas,1985,2020,Nike,,,
1117,Arkansas St,1985,2020,Adidas,,,
1118,Armstrong St,1987,1987,,,,
1119,Army,1985,2020,Nike,,,
1120,Auburn,1985,2020,UA,,"$7,711 ",
1121,Augusta,1985,1991,,,,
1122,Austin Peay,1985,2020,UA,google image,,
1123,Ball St,1985,2020,Nike,google image,,
1124,Baylor,1985,2020,Nike,,,
1125,Belmont,2000,2020,Nike,,,
1126,Bethune-Cookman,1985,2020,Nike,google image,,
1127,Binghamton,2002,2020,Nike,google image,,
1128,Birmingham So,2003,2006,,,,
1129,Boise St,1985,2020,Nike,,,
1130,Boston College,1985,2020,UA,,,
1131,Boston Univ,1985,2020,Adidas,Google Image,,
1132,Bowling Green,1985,2020,Nike,,,
1133,Bradley,1985,2020,Adidas,,,
1134,Brooklyn,1985,1992,,,,
1135,Brown,1985,2020,Adidas,,,
1136,Bryant,2009,2020,Adidas,,,
1137,Bucknell,1985,2020,Adidas,,,
1138,Buffalo,1992,2020,Nike,,,
1139,Butler,1985,2020,Nike,,,
1140,BYU,1985,2020,Nike,,,
1141,C Michigan,1985,2020,Adidas,,,
1142,Cal Poly,1995,2020,Nike,,,
1143,California,1985,2020,Nike,,,
1144,Campbell,1985,2020,UA,,,
1145,Canisius,1985,2020,Nike,Jordan Brand - Google Image,,
1146,Cent Arkansas,2007,2020,Adidas,,,
1147,Centenary,1985,2011,,,,
1148,Central Conn,1987,2020,Nike,google image,,
1149,Charleston So,1985,2020,Nike,google image,,
1150,Charlotte,1985,2020,Nike,google image,,
1151,Chattanooga,1985,2020,Adidas,google image,,
1152,Chicago St,1985,2020,Nike,google image,,
1153,Cincinnati,1985,2020,UA,,"$4,815 ",
1154,Citadel,1985,2020,Adidas,google image,,
1155,Clemson,1985,2020,Nike,2018-2028,"$3,200 ",
1156,Cleveland St,1985,2020,Nike,google image,,
1157,Coastal Car,1987,2020,UA,google image,,
1158,Col Charleston,1992,2020,Nike,google image,,
1159,Colgate,1985,2020,UA,,,
1160,Colorado,1985,2020,Nike,,,
1161,Colorado St,1985,2020,UA,,,
1162,Columbia,1985,2020,Nike,,,
1163,Connecticut,1985,2020,Nike,"$32.5 mil, 7 years through 2022-2023","$4,500 ",
1164,Coppin St,1986,2020,Nike,google image,,
1165,Cornell,1985,2020,Nike,,,
1166,Creighton,1985,2020,Nike,,,
1167,CS Bakersfield,2008,2020,Adidas,google image,,
1168,CS Fullerton,1985,2020,Nike,google image,,
1169,CS Northridge,1991,2020,UA,google image,,
1170,CS Sacramento,1992,2020,Adidas,google image,,
1171,Dartmouth,1985,2020,Nike,google image,,
1172,Davidson,1985,2020,Nike,,,
1173,Dayton,1985,2020,Nike,google image,Row Labels,Count of TeamID
1174,Delaware,1985,2020,Adidas,,Adidas,105
1175,Delaware St,1985,2020,Russell,google image,Nike,180
1176,Denver,1999,2020,Adidas,,Russell,5
1177,DePaul,1985,2020,Nike,google image,UA,64
1178,Detroit,1985,2020,Adidas,,(blank),13
1179,Drake,1985,2020,Adidas,,Grand Total,367
1180,Drexel,1985,2020,Nike,google image,,
1181,Duke,1985,2020,Nike,google image,,
1182,Duquesne,1985,2020,Adidas,,,
1183,E Illinois,1985,2020,Adidas,google image,,
1184,E Kentucky,1985,2020,Nike,google image,,
1185,E Michigan,1985,2020,Adidas,google image,,
1186,E Washington,1985,2020,Adidas,google image,,
1187,East Carolina,1985,2020,Adidas,,,
1188,SIUE,2009,2020,Adidas,google image,,
1189,Elon,2000,2020,UA,,,
1190,ETSU,1985,2020,Nike,google image,,
1191,Evansville,1985,2020,Nike,google image,,
1192,F Dickinson,1985,2020,Nike,google image,,
1193,Fairfield,1985,2020,Nike,google image,,
1194,FL Atlantic,1994,2020,Adidas,google image,,
1195,FL Gulf Coast,2008,2020,Nike,google image,,
1196,Florida,1985,2020,Nike,,"$3,300 ",
1197,Florida A&M,1985,2020,Nike,google image,,
1198,Florida Intl,1988,2020,Adidas,google image,,
1199,Florida St,1985,2020,Nike,,"$4,310 ",
1200,Fordham,1985,2020,UA,google image,,
1201,Fresno St,1985,2020,Nike,,,
1202,Furman,1985,2020,Nike,google image,,
1203,G Washington,1985,2020,Nike,google image,,
1204,Ga Southern,1985,2020,Adidas,google image,,
1205,Gardner Webb,2003,2020,UA,google image,,
1206,George Mason,1985,2020,Adidas,,,
1207,Georgetown,1985,2020,Nike,google image,,
1208,Georgia,1985,2020,Nike,,,
1209,Georgia St,1985,2020,UA,,$450 ,
1210,Georgia Tech,1985,2020,Adidas,news,"$3,110 ",
1211,Gonzaga,1985,2020,Nike,,,
